fullname,language,selectedfiles,allfiles,numauthors,nummultauthors,numdevelopers,percentage,size,commits,stars,loc,truckfactor,gini,rsinglefile,numalldevs,rsinglefolder
activeadmin/activeadmin,Ruby,441,523,35,43,284,0.15,Medium,3737,5719,18921,2,0.848916310711411,0.764172335600907,456,44
ajaxorg/ace,JavaScript,735,1315,74,86,223,0.39,Medium,6016,9810,190746,2,0.846037019467591,0.7333333333333333,262,38
alexreisner/geocoder,Ruby,148,257,31,36,164,0.22,Small,1441,3074,6904,1,0.696884384384384,0.7837837837837838,194,67
android/platform_frameworks_base,Java,6221,26977,280,322,1106,0.29,Large,159320,2620,3514959,19,0.798414235133276,0.7120578778135048,1447,56
ansible/ansible,Python,364,1052,42,48,401,0.12,Medium,13312,9690,59079,2,0.819997710637828,0.7857142857142857,1226,50
apache/cassandra,Java,1337,1818,38,43,98,0.44,Large,16038,1900,259088,2,0.802651000084033,0.7211394302848576,138,27
atom/atom-shell,C-CPP,408,506,3,4,36,0.11,Medium,3111,5646,27328,1,0.732843137254902,0.9852941176470589,77,92
bbatsov/rubocop,Ruby,548,584,28,30,98,0.31,Medium,3151,3859,44133,3,0.80969180860086,0.5565693430656934,132,33
bitcoin/bitcoin,C-CPP,625,1106,32,38,230,0.17,Medium,7958,6508,99972,3,0.778135774222149,0.7965217391304348,345,46
bjorn/tiled,C-CPP,446,758,25,29,91,0.32,Medium,1727,2850,58155,1,0.857507344982217,0.8161434977578476,111,61
boto/boto,Python,642,906,73,85,486,0.17,Medium,6715,4570,74327,4,0.801160588856895,0.7679127725856698,602,49
bumptech/glide,Java,371,542,5,5,11,0.45,Medium,1004,1973,34537,1,0.78544474393531,0.9784366576819407,18,90
bundler/bundler,Ruby,199,295,35,41,367,0.11,Medium,5178,2741,25858,3,0.784614127563631,0.6080402010050251,458,38
bup/bup,Python,115,173,8,10,60,0.17,Small,1200,3775,13809,2,0.738260869565217,0.8347826086956521,80,38
BVLC/caffe,C-CPP,260,420,23,27,69,0.39,Medium,2743,2519,51920,4,0.697530864202778,0.6230769230769231,99,32
caskroom/homebrew-cask,Ruby,2625,2676,529,804,1386,0.58,Large,32414,6058,36886,1,0.774079917875582,0.2358095238095238,1551,30
celery/celery,Python,264,568,10,12,251,0.05,Medium,8566,3300,42329,1,0.88636363636289,0.9431818181818182,427,77
celluloid/celluloid,Ruby,94,117,10,13,73,0.18,Small,1461,2698,6110,1,0.783142389525368,0.8297872340425532,92,58
chef/chef,Ruby,1422,1695,100,114,427,0.26,Large,11961,3387,141720,6,0.797410779647193,0.7693389592123769,553,62
clojure/clojure,Java,277,291,20,26,113,0.23,Medium,2695,3922,38629,2,0.837267425715079,0.8194945848375451,135,54
cocos2d/cocos2d-x,C-CPP,2682,4517,62,69,365,0.19,Large,27397,5357,560797,6,0.788322244064886,0.614867388868136,520,48
codemirror/CodeMirror,JavaScript,379,403,61,104,383,0.27,Medium,4427,6197,68972,4,0.779395846023952,0.5356200527704486,437,28
composer/composer,PHP,350,533,44,57,339,0.17,Medium,4867,5335,36852,2,0.80623224730644,0.6857142857142857,463,34
cucumber/cucumber,Ruby,176,500,21,27,193,0.14,Small,6215,4644,15156,2,0.787457912464491,0.8011363636363636,349,50
diaspora/diaspora,Ruby,1166,1755,87,99,270,0.37,Medium,15397,9808,130405,6,0.788903062695123,0.6632302405498282,443,25
divio/django-cms,Python,589,1186,41,47,233,0.2,Medium,9973,3259,54949,3,0.809406365801226,0.6539792387543253,415,52
django/django,Python,1805,5206,89,102,567,0.18,Large,20101,13038,54949,7,0.819986993321533,0.7355875831485588,910,55
driftyco/ionic,JavaScript,395,596,10,13,81,0.16,Medium,3645,13904,132538,2,0.741447581956752,0.810126582278481,186,64
dropwizard/dropwizard,Java,440,633,34,44,118,0.37,Medium,2686,2877,27559,1,0.850156739811912,0.8275862068965517,205,64
dropwizard/metrics,Java,201,306,20,28,100,0.28,Medium,1949,2832,17360,1,0.790859057164554,0.7839195979899497,160,57
drupal/drupal,PHP,5659,11892,14,17,39,0.44,Large,27825,1729,621770,2,0.821601950255425,0.5348837209302325,115,37
elasticsearch/elasticsearch,Java,3983,5240,57,63,220,0.29,Large,10849,10102,442941,2,0.864244467548055,0.7604820487070048,456,49
elasticsearch/logstash,Ruby,125,208,13,18,106,0.17,Small,6448,3726,10770,2,0.749777777777778,0.744,376,41
emberjs/ember.js,JavaScript,640,673,56,67,423,0.16,Medium,8878,12802,66625,6,0.803737562182555,0.5046875,570,28
erikhuda/thor,Ruby,81,97,10,12,123,0.1,Small,1238,2678,7516,1,0.766460905349794,0.7654320987654321,140,53
Eugeny/ajenti,Python,289,554,10,13,33,0.39,Medium,2521,3468,25893,1,0.890604205483098,0.9653979238754326,68,91
excilys/androidannotations,Java,624,784,26,27,47,0.57,Medium,1916,4531,29523,2,0.77995642701226,0.7810457516339869,69,52
facebook/osquery,C-CPP,241,365,15,18,29,0.62,Medium,1422,3673,7174,2,0.824804057169202,0.6887966804979253,44,36
facebook/presto,Java,2035,2331,23,23,53,0.43,Large,4469,3004,7174,2,0.803763842894891,0.684029484029484,65,34
fog/fog,Ruby,4192,4361,144,165,446,0.37,Large,11322,3390,153949,12,0.793136741697377,0.5834932821497121,821,27
FriendsOfPHP/PHP-CS-Fixer,PHP,211,225,22,33,84,0.39,Medium,1166,1986,17107,2,0.800229785982522,0.7251184834123223,111,28
fzaninotto/Faker,PHP,338,346,83,93,168,0.55,Medium,1120,5251,53680,23,0.492842145441724,0.7485207100591716,186,51
getsentry/sentry,Python,921,1231,11,16,152,0.11,Medium,7479,6462,108866,1,0.926506514657981,0.9630836047774158,249,87
git/git,C-CPP,1516,2770,233,267,1078,0.25,Large,38750,8237,357243,12,0.7695063083183,0.7083906464924347,1474,49
github/android,Java,390,661,9,10,31,0.32,Medium,2618,5661,57844,1,0.757435897426404,0.823076923076923,101,74
github/linguist,Ruby,44,1482,5,6,131,0.05,Small,3849,2695,121885,2,0.419191919210285,0.8181818181818182,510,50
gradle/gradle,Java,7365,9864,48,59,132,0.45,Large,24230,2156,485204,4,0.879398960987978,0.7096247960848288,195,47
gruntjs/grunt,JavaScript,23,75,2,3,28,0.11,Small,1305,9163,3520,1,0.623188405797102,0.9565217391304348,54,88
haml/haml,Ruby,96,111,12,13,99,0.13,Small,4888,2634,5874,3,0.644764957252142,0.4791666666666667,147,29
Homebrew/homebrew,Ruby,3260,3488,1540,1713,4803,0.36,Large,43109,21606,111167,2,0.592477523622665,0.5788343558282208,5626,54
iojs/io.js,JavaScript,1194,11977,182,192,486,0.4,Medium,11006,10531,2217511,5,0.80300979329283,0.7869127516778524,775,40
ipython/ipython,Python,701,1334,50,59,323,0.18,Medium,19818,5796,124576,4,0.825243195758366,0.6547788873038516,475,35
Itseez/opencv,C-CPP,1817,4468,60,68,304,0.22,Large,15619,4574,1100366,2,0.877361951935796,0.7655476059438635,438,55
jadejs/jade,JavaScript,302,425,22,23,92,0.25,Medium,2154,7961,10591,2,0.764228812725361,0.6788079470198676,159,45
janl/mustache.js,JavaScript,121,208,18,19,40,0.47,Small,549,7383,1164,1,0.781499202548038,0.6363636363636364,71,60
jashkenas/backbone,JavaScript,15,106,5,6,248,0.02,Small,2831,20871,26374,2,0.511111111111111,0.8,285,67
jekyll/jekyll,Ruby,159,378,33,41,271,0.15,Small,5439,18733,9514,4,0.716725469151285,0.6666666666666666,494,35
JetBrains/intellij-community,Java,56457,74498,145,152,207,0.73,Large,148258,1744,3945287,9,0.824222326033489,0.7467220240946754,339,59
jnicklas/capybara,Ruby,148,164,25,30,179,0.17,Small,2028,5826,16756,3,0.769330289187342,0.6506849315068494,237,55
JohnLangford/vowpal_wabbit,C-CPP,249,505,22,30,82,0.37,Medium,3946,2061,30050,2,0.796519410958525,0.6867469879518072,124,42
joomla/joomla-cms,PHP,2959,5585,66,72,414,0.17,Large,21263,1452,534778,7,0.793804369594218,0.47921595133491046,513,33
jquery/jquery,JavaScript,178,225,18,22,209,0.11,Small,5761,33491,34703,4,0.664027919647821,0.6348314606741573,265,45
jquery/jquery-ui,JavaScript,489,619,30,34,276,0.12,Medium,6519,8755,257852,2,0.837345122097919,0.5071574642126789,298,19
jrburke/requirejs,JavaScript,613,693,5,9,28,0.32,Medium,1270,7071,31297,1,0.866956679354722,0.8972267536704731,84,87
justinfrench/formtastic,Ruby,154,171,19,22,163,0.13,Small,2289,4571,13390,1,0.796389216811599,0.7792207792207793,200,43
kivy/kivy,Python,321,1122,23,30,159,0.19,Medium,7836,2810,68117,1,0.863793700235963,0.7912772585669782,226,32
koush/ion,Java,115,177,2,2,13,0.15,Small,701,2796,9299,1,0.491304347826087,1,26,100
kriswallsmith/assetic,PHP,233,269,25,28,105,0.27,Medium,1071,2866,10458,1,0.775597792765175,0.8626609442060086,128,83
Leaflet/Leaflet,JavaScript,162,193,17,19,189,0.1,Small,3507,9820,16926,1,0.815789473684211,0.8950617283950617,226,65
less/less.js,JavaScript,371,478,29,33,174,0.19,Medium,2325,11863,22140,1,0.829943641264396,0.7250673854447439,213,62
libgdx/libgdx,Java,3347,4345,61,64,295,0.22,Large,10810,5718,656269,2,0.911453663586061,0.6329946204423191,367,52
mailpile/Mailpile,Python,318,682,12,14,67,0.21,Medium,4215,5501,49569,1,0.831985624438454,0.8050314465408805,106,48
